PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,8.614678,3.241304,3.790836,7.819822,10.966761,29.294267,17.534015,2.209445,9.93075,34.871826,7.329201,12.762969,170.790805,171.004206,172.325248,171.655601,170.889038,170.973142,17.868685,5.184095,2.907543,170.80492,170.716235,170.919411
203919,11.051133,4.852284,13.438274,12.616351,6.481764,15.231165,34.092789,7.515207,13.837372,41.030393,16.142388,16.160079,165.997262,180.274742,268.658309,223.855977,172.569476,178.196412,42.455473,12.931729,7.36223,166.941634,161.008188,174.601576
203500,6.052272,7.876082,3.697402,9.183478,18.32471,29.436045,19.640696,0.025603,9.627088,35.555711,0.186748,18.789252,162.94815,163.197363,164.740094,163.958072,163.062868,163.161086,16.534977,0.23628,9.250129,162.964634,162.861066,163.098338
201167,8.658286,0.433016,2.591269,7.502443,1.738917,14.051536,16.671332,7.543823,11.025469,35.701764,21.08096,13.110821,159.558831,159.558831,159.558831,159.558831,159.558831,159.558831,19.030432,13.537137,2.085351,159.558831,159.558831,159.558831
201582,8.529002,9.430792,4.118256,13.785836,21.954897,39.61499,35.872838,0.152963,14.511641,66.671119,0.429347,17.702304,196.466118,196.679707,198.001913,197.331676,196.564437,196.648615,31.329623,0.340779,3.266054,196.480245,196.391482,196.594837
202332,12.9418,13.23308,6.816127,11.475693,19.518476,46.639823,26.999302,0.056426,10.355807,54.063898,0.039292,12.945893,191.309329,191.858555,195.258496,193.535039,191.562149,191.778606,28.430898,0.148454,2.783947,191.345657,191.117409,191.64032
200746,8.076211,4.319491,3.102719,7.74978,11.192481,35.005365,39.570485,2.218817,19.377473,83.479235,6.321602,22.961886,159.519194,159.519194,159.519194,159.519194,159.519194,159.519194,43.90875,4.102785,3.584413,159.519194,159.519194,159.519194
1626146,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606
202730,11.820569,6.668077,2.635916,6.6074,19.963107,32.412519,22.862838,0.040564,5.380687,48.625177,0.259421,7.715947,174.349472,174.359579,174.422146,174.390431,174.354125,174.358108,25.787483,0.221904,2.338827,174.350141,174.345941,174.355563
2754,8.920978,2.972131,12.812349,8.876058,10.327161,17.697733,21.879988,1.031522,8.122803,43.222102,3.165151,12.928828,165.395126,165.395126,165.395126,165.395126,165.395126,165.395126,21.342114,2.133629,4.806026,165.395126,165.395126,165.395126
202329,7.451035,7.135963,8.392864,6.812581,13.625257,28.22733,14.306684,3.836068,10.007437,29.423146,13.997479,14.128459,167.750966,167.75111,167.752,167.751549,167.751032,167.751089,15.11682,10.161454,4.121073,167.750976,167.750916,167.751053
200811,12.773046,10.957379,5.861907,13.303889,22.444855,36.092496,22.403175,0.000102,8.447614,51.795982,0.16066,20.058189,203.450367,203.451357,203.457488,203.45438,203.450822,203.451213,29.395271,0.160857,11.610925,203.450432,203.45002,203.450963
2365,6.043122,9.687078,3.984896,6.166961,12.182753,33.674987,18.183082,0.580089,12.079746,30.036192,1.905685,17.966236,172.73809,172.73809,172.73809,172.73809,172.73809,172.73809,11.853109,1.325596,5.886489,172.73809,172.73809,172.73809
101187,7.819495,0.516549,5.207331,5.684799,2.988821,15.967352,11.419643,6.971918,7.831233,21.797176,20.109398,9.673213,164.170475,164.171352,164.176783,164.17403,164.170878,164.171224,10.379715,13.137745,1.84229,164.170533,164.170168,164.171003
202341,11.016928,1.975979,5.252433,7.741297,4.380638,17.443736,13.787856,8.165154,5.895024,26.166686,24.83606,7.952049,164.37616,164.450507,164.910748,164.677448,164.410384,164.439685,12.563782,16.693322,2.083267,164.381078,164.35018,164.420965
